episode,episode_reward,loss,avg_reward_100,max_reward,episode_steps,timestamp
304,7.000,-0.213467,8.590,16.000,69,2026-03-17T20:47:33.331746
305,7.000,-0.215263,8.670,16.000,69,2026-03-17T20:47:33.351764
306,7.000,-0.220133,8.750,16.000,69,2026-03-17T20:47:33.374295
307,7.000,-0.228308,8.830,16.000,69,2026-03-17T20:47:33.395336
308,-1.000,-0.131185,8.760,16.000,37,2026-03-17T20:47:33.409395
309,-1.000,-0.130430,8.680,16.000,37,2026-03-17T20:47:33.420424
310,-1.000,-0.135797,8.600,16.000,37,2026-03-17T20:47:33.435236
311,7.000,-0.221093,8.600,16.000,69,2026-03-17T20:47:33.457255
312,7.000,-0.220957,8.530,16.000,69,2026-03-17T20:47:33.474448
313,16.000,-0.132325,8.550,16.000,625,2026-03-17T20:47:33.567181
314,13.000,-0.217551,8.540,16.000,93,2026-03-17T20:47:33.593620
315,12.000,-0.210568,8.530,16.000,84,2026-03-17T20:47:33.619681
316,5.000,-0.184791,8.440,16.000,58,2026-03-17T20:47:33.636518
317,5.000,-0.190266,8.500,16.000,58,2026-03-17T20:47:33.662666
318,5.000,-0.189576,8.560,16.000,58,2026-03-17T20:47:33.672891
319,5.000,-0.184807,8.480,16.000,58,2026-03-17T20:47:33.686077
320,12.000,-0.209442,8.470,16.000,84,2026-03-17T20:47:33.720328
321,12.000,-0.213533,8.460,16.000,84,2026-03-17T20:47:33.742617
322,13.000,-0.214177,8.460,16.000,93,2026-03-17T20:47:33.770562
323,13.000,-0.217859,8.600,16.000,92,2026-03-17T20:47:33.792797
324,-1.000,-0.128418,8.600,16.000,37,2026-03-17T20:47:33.807044
325,-1.000,-0.123280,8.540,16.000,37,2026-03-17T20:47:33.818052
326,-1.000,-0.123404,8.480,16.000,37,2026-03-17T20:47:33.824359
327,-1.000,-0.128249,8.420,16.000,37,2026-03-17T20:47:33.843357
328,13.000,-0.217286,8.420,16.000,92,2026-03-17T20:47:33.865533
329,13.000,-0.216081,8.500,16.000,92,2026-03-17T20:47:33.892711
330,16.000,-0.128282,8.670,16.000,625,2026-03-17T20:47:33.995324
331,16.000,-0.133109,8.840,16.000,625,2026-03-17T20:47:34.085809
332,14.000,-0.215181,8.820,16.000,94,2026-03-17T20:47:34.111039
333,12.000,-0.213804,8.800,16.000,85,2026-03-17T20:47:34.133502
334,12.000,-0.215297,8.790,16.000,85,2026-03-17T20:47:34.153095
335,13.000,-0.218708,8.790,16.000,92,2026-03-17T20:47:34.180940
336,16.000,-0.131405,8.820,16.000,625,2026-03-17T20:47:34.264877
337,13.000,-0.219512,8.820,16.000,93,2026-03-17T20:47:34.286523
338,13.000,-0.220283,8.820,16.000,93,2026-03-17T20:47:34.313097
339,-1.000,-0.129109,8.680,16.000,37,2026-03-17T20:47:34.325847
340,-1.000,-0.126472,8.540,16.000,37,2026-03-17T20:47:34.326363
341,-1.000,-0.129650,8.490,16.000,37,2026-03-17T20:47:34.339606
342,14.000,-0.219732,8.590,16.000,94,2026-03-17T20:47:34.367878
343,7.000,-0.219622,8.670,16.000,69,2026-03-17T20:47:34.394444
344,14.000,-0.218558,8.820,16.000,94,2026-03-17T20:47:34.421397
345,14.000,-0.216654,8.970,16.000,94,2026-03-17T20:47:34.450111
346,14.000,-0.218639,8.980,16.000,94,2026-03-17T20:47:34.474306
347,14.000,-0.219869,9.000,16.000,94,2026-03-17T20:47:34.501081
348,14.000,-0.221427,9.010,16.000,94,2026-03-17T20:47:34.529133
349,14.000,-0.224472,9.080,16.000,94,2026-03-17T20:47:34.559453
350,-1.000,-0.129120,9.000,16.000,37,2026-03-17T20:47:34.574991
351,-1.000,-0.128739,9.000,16.000,37,2026-03-17T20:47:34.589639
352,-1.000,-0.134590,9.000,16.000,37,2026-03-17T20:47:34.603650
353,12.000,-0.221634,9.080,16.000,85,2026-03-17T20:47:34.629671
354,12.000,-0.219328,9.130,16.000,85,2026-03-17T20:47:34.655126
355,13.000,-0.227114,9.130,16.000,93,2026-03-17T20:47:34.679793
356,16.000,-0.135491,9.130,16.000,625,2026-03-17T20:47:34.766493
357,13.000,-0.222594,9.120,16.000,93,2026-03-17T20:47:34.793290
358,14.000,-0.219099,9.120,16.000,94,2026-03-17T20:47:34.812243
