episode,episode_reward,episode_steps,timesteps,fps,timestamp
243,10.790000,404,206096,0,2026-03-23T16:57:54.572131
244,8.910000,412,209392,0,2026-03-23T16:57:55.086692
245,18.650000,729,209616,0,2026-03-23T16:57:55.100864
246,12.969997,618,209960,0,2026-03-23T16:57:55.123562
247,17.889999,756,210384,0,2026-03-23T16:57:55.150251
248,8.770000,436,213104,0,2026-03-23T16:57:55.638228
249,6.980000,370,213344,0,2026-03-23T16:57:55.653794
250,11.050000,515,213512,0,2026-03-23T16:57:55.664280
251,18.809999,2500,214216,0,2026-03-23T16:57:55.707733
252,8.469999,567,214496,0,2026-03-23T16:57:55.725878
253,22.810001,2500,214528,0,2026-03-23T16:57:55.728097
254,22.300007,2500,215928,0,2026-03-23T16:57:55.990102
255,8.090000,376,217504,0,2026-03-23T16:57:56.271611
256,23.580011,2500,217816,0,2026-03-23T16:57:56.294726
257,10.590000,458,217880,0,2026-03-23T16:57:56.301141
258,11.199998,637,218200,0,2026-03-23T16:57:56.324972
259,15.499996,724,219136,0,2026-03-23T16:57:56.399799
260,9.520000,580,219168,0,2026-03-23T16:57:56.565597
261,12.599999,622,220904,0,2026-03-23T16:57:56.688066
262,12.679998,515,221624,0,2026-03-23T16:57:56.886996
263,10.549999,496,223136,0,2026-03-23T16:57:56.991682
264,10.470001,500,223136,0,2026-03-23T16:57:56.991691
265,15.919998,806,224264,0,2026-03-23T16:57:57.223202
266,14.699999,777,224416,0,2026-03-23T16:57:57.233980
267,10.240000,458,224568,0,2026-03-23T16:57:57.244394
268,9.219999,409,224896,0,2026-03-23T16:57:57.266603
269,2.220000,263,226672,0,2026-03-23T16:57:57.532978
270,9.790000,382,227320,0,2026-03-23T16:57:57.575737
271,13.749998,533,227400,0,2026-03-23T16:57:57.733587
272,8.440000,561,227624,0,2026-03-23T16:57:57.748695
273,7.610001,376,227904,0,2026-03-23T16:57:57.767283
274,8.960001,462,230368,0,2026-03-23T16:57:58.081459
275,15.019999,761,230504,0,2026-03-23T16:57:58.090391
276,13.249999,476,231128,0,2026-03-23T16:57:58.131376
277,8.710001,405,231144,0,2026-03-23T16:57:58.132733
278,22.390005,2500,233512,0,2026-03-23T16:57:58.586875
279,14.639997,740,233544,0,2026-03-23T16:57:58.589435
280,8.559999,417,233840,0,2026-03-23T16:57:58.609719
281,9.680000,620,236088,0,2026-03-23T16:57:58.896691
282,12.669997,761,236456,0,2026-03-23T16:57:58.919975
